,text,label,problem
56,Top Stocks in 2015 are Ready to Lead Again in 2016,0.414,sentiment_ranking_microblogs
57,Long look like a 5-10% run awaits,0.394,sentiment_ranking_microblogs
58,Rally Friday! #new52weekhighs p over 31%,0.66,sentiment_ranking_microblogs
59,short didnt work out,0.378,sentiment_ranking_microblogs
60,Risky move,-0.078,sentiment_ranking_microblogs
61,will get in on the next run up,0.275,sentiment_ranking_microblogs
62,$GOOGL patents turn signal detector for autonomous cars.,0.393,sentiment_ranking_microblogs
63,$UCO +4.44%,0.442,sentiment_ranking_microblogs
64,Worst #sentiment for #SP1500 #stocks at market close,-0.479,sentiment_ranking_microblogs
65,near-term target $77.38,0.0,sentiment_ranking_microblogs
66,Break-out thru 50 & 200- DMA Short squeeze in progress,0.504,sentiment_ranking_microblogs
67,Sector Stocks Leading Today,0.454,sentiment_ranking_microblogs
68,sold my 81 calls,-0.312,sentiment_ranking_microblogs
69,makes less profit than the sales of $AAPL Watch,-0.641,sentiment_ranking_microblogs
70,closed Friday with the RS line in new highs,0.371,sentiment_ranking_microblogs
71,waiting for price to enter buy/support zone strong support,0.358,sentiment_ranking_microblogs
72,Buy these 3 stocks while there's blood in the streets,0.415,sentiment_ranking_microblogs
73,got some more,0.295,sentiment_ranking_microblogs
74,stock splits are lipstick on a pig!,-0.347,sentiment_ranking_microblogs
75,the parties over volatility is back,-0.223,sentiment_ranking_microblogs
76,volume footprint looks great,-0.097,sentiment_ranking_microblogs
77,making new highs for the year,0.53,sentiment_ranking_microblogs
78,broken out of a major horizontal resistance,0.345,sentiment_ranking_microblogs
79,Airplane And Hospitality Industries Set Their Sights On #Cuba,0.405,sentiment_ranking_microblogs
80,breaking out,0.068,sentiment_ranking_microblogs
81,Biggest Market Losers,-0.438,sentiment_ranking_microblogs
82,progress witnessed truly stunning,0.436,sentiment_ranking_microblogs
83,Tomorrow party time for the Bears!!,-0.524,sentiment_ranking_microblogs
84,Long Position on,0.674,sentiment_ranking_microblogs
85,long on,0.457,sentiment_ranking_microblogs
86,Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,0.432,sentiment_ranking_microblogs
87,"As for $TWTR, no words.",-0.188,sentiment_ranking_microblogs
88,revenue grew double-digit,0.454,sentiment_ranking_microblogs
89,bidders line up,0.252,sentiment_ranking_microblogs
90,Continues to base on the weekly chart,-0.047,sentiment_ranking_microblogs
91,gets 26 patents and goes down,-0.373,sentiment_ranking_microblogs
92,looking for a sharp move up in equities,0.368,sentiment_ranking_microblogs
93,The momo leaders are taken down one by one,-0.351,sentiment_ranking_microblogs
94,News breaks first and fastest on Twitter $TWTR,0.364,sentiment_ranking_microblogs
95,Reasons for caution about Chinese stocks,-0.317,sentiment_ranking_microblogs
96,support 212.93 no support to 209.45,0.166,sentiment_ranking_microblogs
97,Monday Bulls Are Out!,0.457,sentiment_ranking_microblogs
98,Whole Foods shareholders vote down activist initiatives,-0.076,sentiment_ranking_microblogs
99,Nice little cup-and-handle shaping up favours a good day for the index,0.342,sentiment_ranking_microblogs
100,Drugs and Biotech Getting Perky,0.387,sentiment_ranking_microblogs
101,If that's what you want then buy some,0.245,sentiment_ranking_microblogs
102,may rebound faster,0.216,sentiment_ranking_microblogs
103,Finding Support,0.259,sentiment_ranking_microblogs
104,So both call/put buyers are crushed,-0.126,sentiment_ranking_microblogs
105,Coal stocks are poking their head up very nice weekly candle,0.362,sentiment_ranking_microblogs
106,Unusual Call Activity,0.421,sentiment_ranking_microblogs
107,stocks insiders are bullish on,0.433,sentiment_ranking_microblogs
108,in from 3.61,0.306,sentiment_ranking_microblogs
109,over 225 million new Internet users are being added globally every year,0.337,sentiment_ranking_microblogs
110,New RSI signal created on $COST - Buy,0.497,sentiment_ranking_microblogs
111,Stream too bullish you are going against the biggest BILLIONS,0.492,sentiment_ranking_microblogs
112,"small pos, short 180 wkly puts",-0.597,sentiment_ranking_microblogs
113,strong buy within a month,0.119,sentiment_ranking_microblogs
114,so volatile!,-0.131,sentiment_ranking_microblogs
115,out of $KRE,-0.381,sentiment_ranking_microblogs
116,Finding Support,0.259,sentiment_ranking_microblogs
117,watching for bounce tomorrow,0.366,sentiment_ranking_microblogs
118,placed an order to sell 5 shares,-0.379,sentiment_ranking_microblogs
119,looking good Note that it broke this area on lighter volume,0.255,sentiment_ranking_microblogs
120,trade continuing very nicely from yesterday looking very strong here,0.495,sentiment_ranking_microblogs
121,"goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer",0.294,sentiment_ranking_microblogs
122,still loving it today,0.385,sentiment_ranking_microblogs
123,Getting ready to sell some premiumm,-0.441,sentiment_ranking_microblogs
124,ready to exit bankruptcy,0.298,sentiment_ranking_microblogs
125,Loooooongggggg base,0.557,sentiment_ranking_microblogs
126,Out $BIDU for now,-0.221,sentiment_ranking_microblogs
127,"Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise",0.372,sentiment_ranking_microblogs
128,Report: Apple signs up for Google's cloud uses much less of Amazon,-0.38,sentiment_ranking_microblogs
129,First quarter is amazing,0.322,sentiment_ranking_microblogs
130,Pie In The Sky,0.365,sentiment_ranking_microblogs
131,Long-Term Potential Robust,0.249,sentiment_ranking_microblogs
132,ripe for a squeeze again,-0.216,sentiment_ranking_microblogs
133,Added long at friday close,0.513,sentiment_ranking_microblogs
134,making all kinds of gains ????,0.42,sentiment_ranking_microblogs
135,earish Trader bets $550K that Stock Will Sell Off,-0.493,sentiment_ranking_microblogs
136,2m this year would be amazing,0.151,sentiment_ranking_microblogs
137,I'm watching(and buy targets),0.344,sentiment_ranking_microblogs
138,losers no profit so sad,-0.383,sentiment_ranking_microblogs
139,I dumped $PYPL and $PRLB,-0.506,sentiment_ranking_microblogs
140,its time to sell banks,-0.763,sentiment_ranking_microblogs
141,If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,0.33,sentiment_ranking_microblogs
142,Breakout watch,0.352,sentiment_ranking_microblogs
143,debt crisis entered a dangerous new phase,-0.331,sentiment_ranking_microblogs
144,weekly 120 puts +283%,-0.35,sentiment_ranking_microblogs
145,bail out,0.058,sentiment_ranking_microblogs
146,Markets Back in Black for 2016,0.271,sentiment_ranking_microblogs
147,Long LEAPS,0.438,sentiment_ranking_microblogs
148,downgraded to Neutral at Wedbush PT Lowered to,-0.434,sentiment_ranking_microblogs
149,companies shld be worried about iCloud,-0.329,sentiment_ranking_microblogs
150,valuation downgraded today would imagine this will trade red at least for a day,-0.375,sentiment_ranking_microblogs
151,add in,0.354,sentiment_ranking_microblogs
152,Long buying point,0.23,sentiment_ranking_microblogs
153,Something big is gonna happen here,0.0,sentiment_ranking_microblogs
154,Bot $GMCR 75 Nov Call,0.614,sentiment_ranking_microblogs
155,holding up relatively well compared to the broad market,0.394,sentiment_ranking_microblogs
156,$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%,0.418,sentiment_ranking_microblogs
157,breaks major support,-0.455,sentiment_ranking_microblogs
158,getting kneecapped by $BEXP selling itself dirt cheap,-0.384,sentiment_ranking_microblogs
159,Stochastic Overbought,-0.516,sentiment_ranking_microblogs
160,Now up to 200 stocks making new 52 week highs,0.458,sentiment_ranking_microblogs
161,Short Setups Looking Nice....Really Nice,-0.464,sentiment_ranking_microblogs
162,Go Long until exp imo,0.414,sentiment_ranking_microblogs
163,its been nothing but down,-0.43,sentiment_ranking_microblogs
164,good for economy,0.273,sentiment_ranking_microblogs
165,"$TSLA Recalls 2,700 Model X Vehicle Shares Volatile",-0.336,sentiment_ranking_microblogs
166,Long tech calls,0.384,sentiment_ranking_microblogs
167,Bullish MA Crossovers,0.457,sentiment_ranking_microblogs
168,stocks at support w/ high trade quality,0.503,sentiment_ranking_microblogs
169,Today I bought more,0.087,sentiment_ranking_microblogs
170,offers will take place until next week,0.409,sentiment_ranking_microblogs
171,another story stock with an unhappy ending,-0.426,sentiment_ranking_microblogs
172,won't have anyone buying products,-0.429,sentiment_ranking_microblogs
173,flop would just get everyone running to the fences.,-0.546,sentiment_ranking_microblogs
174,Highest call to put ratio,0.348,sentiment_ranking_microblogs
175,Sounds bullish,0.23,sentiment_ranking_microblogs
176,2nd raise this year. ncreases Quarterly Cash Dividend 20 Percent,0.705,sentiment_ranking_microblogs
177,$WFM dropping below $30 again not enthusing Investors,-0.499,sentiment_ranking_microblogs
178,Markets Are Still Acting Weak,-0.443,sentiment_ranking_microblogs
179,"is a later riser, Positive catalyst?",0.203,sentiment_ranking_microblogs
180,pushing to 12,0.109,sentiment_ranking_microblogs
181,Torture.......,-0.303,sentiment_ranking_microblogs
182,Short Setups Looking Nice....Really Nice,-0.464,sentiment_ranking_microblogs
183,short the market,-0.541,sentiment_ranking_microblogs
184,Bullish MA Crossovers,0.457,sentiment_ranking_microblogs
185,trails $MSFT $ORCL $GOOG $CRM $ADBE,0.177,sentiment_ranking_microblogs
186,$HTZ lower,-0.409,sentiment_ranking_microblogs
187,Today I bought more,0.087,sentiment_ranking_microblogs
188,today's momentum movers,0.282,sentiment_ranking_microblogs
189,I'll take the other side of that trade,0.422,sentiment_ranking_microblogs
190,it shoots to the MOON as my favorite pumper,0.514,sentiment_ranking_microblogs
191,$AZPN is worth $20 a share not $40,-0.563,sentiment_ranking_microblogs
192,Today I bought more,0.087,sentiment_ranking_microblogs
193,$FCX 1.9% now March $36 puts now +8.33%,-0.327,sentiment_ranking_microblogs
194,all sectors improved in bullish breadth.,0.647,sentiment_ranking_microblogs
195,Today I bought more,0.087,sentiment_ranking_microblogs
196,down $2.84 premarket,-0.512,sentiment_ranking_microblogs
197,oil back above 60,0.543,sentiment_ranking_microblogs
198,Surges On Deal,0.419,sentiment_ranking_microblogs
199,Apple's iPhone SE: The Sold Out Flop,-0.336,sentiment_ranking_microblogs
200,Today's losers,-0.317,sentiment_ranking_microblogs
201,EPS growth is around 12% so far,0.316,sentiment_ranking_microblogs
202,MU down 2.3% today and down 8.9%,-0.469,sentiment_ranking_microblogs
203,Found some good bull setups this week,0.448,sentiment_ranking_microblogs
204,master class on how to conquer mobile astonishing turned their fortunes around,0.419,sentiment_ranking_microblogs
205,cuts outlook down,-0.236,sentiment_ranking_microblogs
206,buy zone today take swing trade profits,0.285,sentiment_ranking_microblogs
207,new PM high,0.403,sentiment_ranking_microblogs
208,Stay With Best Of Breed Has Room To Run,0.417,sentiment_ranking_microblogs
209,Bought a little yesterda hoping for an earnings pop.,0.562,sentiment_ranking_microblogs
210,consistent gains but small one of my favorite trade,0.219,sentiment_ranking_microblogs
211,had a nice breakout of the recent consolidation,0.452,sentiment_ranking_microblogs
212,Daily Mail enters competition to acquire Yah,0.342,sentiment_ranking_microblogs
213,Tomorrow party time for the Bears!!,-0.528,sentiment_ranking_microblogs
214,$TSLA is the only 'auto' stock showing a gain year-to-date,-0.334,sentiment_ranking_microblogs
215,Multi-year stock breakouts,0.612,sentiment_ranking_microblogs
216,OPENING BUYER Calls,0.412,sentiment_ranking_microblogs
217,upgrades stock recuperates,0.334,sentiment_ranking_microblogs
218,Inside week buy triggers,0.485,sentiment_ranking_microblogs
219,short somewhere in the high his thing will b short to $3 soon,-0.526,sentiment_ranking_microblogs
220,stocks at support w/ high trade quality,0.503,sentiment_ranking_microblogs
221,$ADBE flying,0.361,sentiment_ranking_microblogs
222,"considering Yahoo bid up 2,05%",0.288,sentiment_ranking_microblogs
223,Sector Stocks Leading Today,0.454,sentiment_ranking_microblogs
224,obby against Judge Garland or they risk losing the case,-0.261,sentiment_ranking_microblogs
225,decision to sell robot business exposes growing pains,-0.289,sentiment_ranking_microblogs
226,$TPLM Triangle #Petroleum 9.80+3% 2M Expanding Caliber,0.376,sentiment_ranking_microblogs
227,$TSLA dump!,-0.866,sentiment_ranking_microblogs
228,Momentum building for breakout trigger Long setup,0.592,sentiment_ranking_microblogs
229,broke the downtrend line ready to launch through the 200 day moving average,0.309,sentiment_ranking_microblogs
230,and it will continue using this profits that no one in the industry can get to innovate and develo,0.413,sentiment_ranking_microblogs
231,Could the pride of social media be gettin ready to fall? chart rolling over?,-0.403,sentiment_ranking_microblogs
232,will end up selling for pennies on the dollar,-0.441,sentiment_ranking_microblogs
233,$CHK +13.56%,0.781,sentiment_ranking_microblogs
234,nice in an out couple mini trades,0.121,sentiment_ranking_microblogs
235,Highest call to put ratio,0.348,sentiment_ranking_microblogs
236,at resistance right here sold my shares,-0.105,sentiment_ranking_microblogs
237,sales numbers still holding up so well igh end might not be a concern after all.,0.315,sentiment_ranking_microblogs
238,Bull Candle,0.335,sentiment_ranking_microblogs
239,Bears Take a Clear Near Term Advantage,-0.501,sentiment_ranking_microblogs
240,Worst performers today  $RIG -13%,-0.72,sentiment_ranking_microblogs
241,losing $400M of $AAPL's business,-0.015,sentiment_ranking_microblogs
242,ready to break $QCOM watching at 55.7,0.235,sentiment_ranking_microblogs
243,$FB $112 Calls .55 entry,0.509,sentiment_ranking_microblogs
244,next Q will be a good short,-0.441,sentiment_ranking_microblogs
245,the parties over volatility is back,-0.223,sentiment_ranking_microblogs
246,In Play Longs,0.273,sentiment_ranking_microblogs
247,Short Setups Looking Nice....Really Nice,-0.464,sentiment_ranking_microblogs
248,Bulls Are Out,0.323,sentiment_ranking_microblogs
249,I don't think it will move $FB in the short term,-0.042,sentiment_ranking_microblogs
250,starting to creep up,0.28,sentiment_ranking_microblogs
251,No edge offered,0.025,sentiment_ranking_microblogs
252,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets,0.383,sentiment_ranking_microblogs
253,the most trending,0.216,sentiment_ranking_microblogs
254,Nobody is recommending the sale of this stock Big things coming,0.623,sentiment_ranking_microblogs
255,holding up relatively well compared to the broad market,0.394,sentiment_ranking_microblogs
256,Good to load up Be confident,0.281,sentiment_ranking_microblogs
257,Tesla dropped a hard J this morning,-0.376,sentiment_ranking_microblogs
258,looks really interesting on drop grabbed some options and stock enough tme before earnings to grow the stock growth all sectors,0.579,sentiment_ranking_microblogs
259,Look at that $AMZN > 600,0.326,sentiment_ranking_microblogs
260,Tesla Motors recalls,-0.424,sentiment_ranking_microblogs
261,is waking up,0.192,sentiment_ranking_microblogs
262,Omg OMG so excited!!!!,0.219,sentiment_ranking_microblogs
263,LED light bulb prices rise in Japan,0.054,sentiment_ranking_microblogs
264,Aggressive Buy,0.587,sentiment_ranking_microblogs
265,delivering the goods again let's see if that can spill over in other chinese internet names,0.502,sentiment_ranking_microblogs
266,stock has 41% upside from here,0.447,sentiment_ranking_microblogs
267,Smartphone Wars Wound Samsung,0.283,sentiment_ranking_microblogs
268,tremendous opportunity awaits,0.384,sentiment_ranking_microblogs
269,short $MBLY,-0.606,sentiment_ranking_microblogs
270,still in massive weekly & monthly uptrend,0.632,sentiment_ranking_microblogs
271,China February Retail Sales: E-Commerce Remains Resilient,0.383,sentiment_ranking_microblogs
272,Same sellers we saw yesterday,-0.45,sentiment_ranking_microblogs
273,"640m globally this week on avengers really sick ,Stan lee is a beast",0.24,sentiment_ranking_microblogs
274,stock will hit $170 easily,0.327,sentiment_ranking_microblogs
275,refuse worst decisions ever,-0.35,sentiment_ranking_microblogs
276,Do you really think in 4 weeks they capture 10%? Impossible.,-0.317,sentiment_ranking_microblogs
277,Call sweepers stepping up this morning,0.343,sentiment_ranking_microblogs
278,plus its Irish based  getting rid of its generic biz,0.146,sentiment_ranking_microblogs
279,Higher In Afternoon Trade Buy Point,0.243,sentiment_ranking_microblogs
280,Mid-single digits EBITDA growth,0.357,sentiment_ranking_microblogs
281,Infection worries prompt regulatory reviews,-0.401,sentiment_ranking_microblogs
282,Not Time To Buy,-0.382,sentiment_ranking_microblogs
283,downgrade,-0.463,sentiment_ranking_microblogs
284,Still too early for an entry,-0.387,sentiment_ranking_microblogs
285,there's a good short spot,-0.434,sentiment_ranking_microblogs
286,$GOOG $GOOGL would suck,-0.404,sentiment_ranking_microblogs
287,Can make HOD LONGS,0.49,sentiment_ranking_microblogs
288,$GRPN having a much better day than $FB,-0.285,sentiment_ranking_microblogs
289,Markets Are Still Acting Weak,-0.443,sentiment_ranking_microblogs
290,Aggressive Buy,0.306,sentiment_ranking_microblogs
291,Looking for a strong bounce Lunchtime rally coming,0.46,sentiment_ranking_microblogs
292,bond buying is signaling some bad moves for the market,-0.361,sentiment_ranking_microblogs
293,continues to consolidate,0.005,sentiment_ranking_microblogs
294,whole Semiconductor space looks interesting,0.328,sentiment_ranking_microblogs
295,issues already priced in,0.165,sentiment_ranking_microblogs
296,Biggest Market Losers,-0.438,sentiment_ranking_microblogs
297,$BABA is going to be an interesting one,0.233,sentiment_ranking_microblogs
298,Long look like a 5-10% run awaits,0.394,sentiment_ranking_microblogs
299,get into $WFM and $MJN,0.415,sentiment_ranking_microblogs
300,posts 60 percent jump in 4Q profit steep global sales increase tops Wall St. view,0.586,sentiment_ranking_microblogs
301,closed Friday with the RS line in new highs,0.371,sentiment_ranking_microblogs
302,Long $TSLA,0.607,sentiment_ranking_microblogs
303,calls for nice gains Still holding Week made in a morning,0.396,sentiment_ranking_microblogs
304,$GOOG $GOOGL would suck,-0.398,sentiment_ranking_microblogs
305,$POZN +30,0.146,sentiment_ranking_microblogs
306,long the market,0.525,sentiment_ranking_microblogs
307,plus its Irish based  getting rid of its generic biz,0.226,sentiment_ranking_microblogs
308,up 7$,0.177,sentiment_ranking_microblogs
309,Markets Are Still Acting Weak,-0.443,sentiment_ranking_microblogs
310,huge buy in all these names,0.608,sentiment_ranking_microblogs
311,red before the bell,-0.442,sentiment_ranking_microblogs
312,Finding Support,0.259,sentiment_ranking_microblogs
313,Breakout in Regional Banking,0.563,sentiment_ranking_microblogs
314,$TOL Higher,0.353,sentiment_ranking_microblogs
315,Favorite Stocks,0.401,sentiment_ranking_microblogs
316,Top #NetPayoutYields,0.426,sentiment_ranking_microblogs
317,Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,0.432,sentiment_ranking_microblogs
318,no trade for now,0.123,sentiment_ranking_microblogs
319,RSI lowest level since October 2012,0.165,sentiment_ranking_microblogs
320,near a 3% drop thats a lot,-0.304,sentiment_ranking_microblogs
321,is up 19%,0.309,sentiment_ranking_microblogs
322,tremendous opportunity awaits,0.456,sentiment_ranking_microblogs
323,careful can reverse fast,-0.152,sentiment_ranking_microblogs
324,Back in,0.383,sentiment_ranking_microblogs
325,Short Setups Looking Nice....Really Nice,-0.464,sentiment_ranking_microblogs
326,peachy prospects,0.339,sentiment_ranking_microblogs
327,splat! poor Q1 orders,-0.453,sentiment_ranking_microblogs
328,advance announce licensing agreement,0.604,sentiment_ranking_microblogs
329,was still up on the screen,0.377,sentiment_ranking_microblogs
330,Nice little cup-and-handle shaping up favours a good day for the index,0.326,sentiment_ranking_microblogs
331,have enjoyed shorting Anglo these last few weeks,-0.269,sentiment_ranking_microblogs
332,European Debt once again Keeps Stocks Down,-0.374,sentiment_ranking_microblogs
333,defect  recalls,-0.366,sentiment_ranking_microblogs
334,been very frustrating green bar gets followed immediately by 1-3 weeks of consolidation,-0.136,sentiment_ranking_microblogs
335,Alphabet Inc was just upgraded to buy,0.465,sentiment_ranking_microblogs
336,getting out of his,-0.374,sentiment_ranking_microblogs
337,today aside setting up for another drop Overvalued sector,-0.504,sentiment_ranking_microblogs
338,Unusual Call Activity,0.332,sentiment_ranking_microblogs
339,Sector Stocks Leading Today,0.454,sentiment_ranking_microblogs
340,Comparable Store Sales -4%,-0.441,sentiment_ranking_microblogs
341,$AAPL max pain,-0.063,sentiment_ranking_microblogs
342,Defying the Downturn,0.407,sentiment_ranking_microblogs
343,PAIN,-0.4,sentiment_ranking_microblogs
344,t's time to short at this point,-0.489,sentiment_ranking_microblogs
345,Put the chum out there at key support then next level down careful,-0.32,sentiment_ranking_microblogs
346,LED light bulb prices rise in Japan,0.054,sentiment_ranking_microblogs
347,"just follow the trend, follow the money flow",0.165,sentiment_ranking_microblogs
348,sideways,0.0,sentiment_ranking_microblogs
349,$YHOO +2.61%,0.16,sentiment_ranking_microblogs
350,Bigger win for,0.273,sentiment_ranking_microblogs
351,working on Cuba deals,0.419,sentiment_ranking_microblogs
352,overbought,-0.296,sentiment_ranking_microblogs
353,uch a bloated valuation,-0.536,sentiment_ranking_microblogs
354,Short Squeeze Ready To Upside w Crossing Important Technical Level,0.219,sentiment_ranking_microblogs
355,great company,0.408,sentiment_ranking_microblogs
356,downgrade,-0.463,sentiment_ranking_microblogs
357,now seems like its helping the downtrend,-0.372,sentiment_ranking_microblogs
358,should bring $SPX down into the close.,-0.462,sentiment_ranking_microblogs
359,hip sinking?,-0.411,sentiment_ranking_microblogs
360,Nice day rally!,0.529,sentiment_ranking_microblogs
361,buy more on the weakness?,0.346,sentiment_ranking_microblogs
362,$AAPL cult on stocktwits is actually disgusting,-0.151,sentiment_ranking_microblogs
363,Pie In The Sky,0.365,sentiment_ranking_microblogs
364,companies shld be worried about iCloud,-0.329,sentiment_ranking_microblogs
365,curing #overbought conditions,-0.262,sentiment_ranking_microblogs
366,Think I may just start to avoid bios,-0.23,sentiment_ranking_microblogs
367,fast 56pc dive,-0.26,sentiment_ranking_microblogs
368,start strong finish weak,-0.086,sentiment_ranking_microblogs
369,Buy the dip',0.38,sentiment_ranking_microblogs
370,gotta hold,0.345,sentiment_ranking_microblogs
371,in trouble ? is that earnings gap still unfilled ?,-0.368,sentiment_ranking_microblogs
372,very tight on the avail stock for shorting,-0.554,sentiment_ranking_microblogs
373,Long term uptrend intract so far,0.368,sentiment_ranking_microblogs
374,Price Target Raised,0.269,sentiment_ranking_microblogs
375,Could the pride of social media be gettin ready to fall? chart rolling over?,-0.287,sentiment_ranking_microblogs
376,"is exceptionally bullish for Romney, the mkt, and the economy.",0.421,sentiment_ranking_microblogs
377,"just follow the trend, follow the money flow",0.165,sentiment_ranking_microblogs
378,Fader play here,-0.219,sentiment_ranking_microblogs
379,$TSLA short,-0.505,sentiment_ranking_microblogs
380,I am excited about all these plays,0.322,sentiment_ranking_microblogs
381,never widen your stop to stay in a trade,-0.412,sentiment_ranking_microblogs
382,over 225 million new Internet users are being added globally every year,0.337,sentiment_ranking_microblogs
383,biggest St50 gainers,0.452,sentiment_ranking_microblogs
384,breakouts,0.627,sentiment_ranking_microblogs
385,$MDXG lower,-0.402,sentiment_ranking_microblogs
386,Nice day rally!,0.529,sentiment_ranking_microblogs
387,breaking below support,-0.397,sentiment_ranking_microblogs
388,beat up AH,0.284,sentiment_ranking_microblogs
389,$FCX +3.53%,0.339,sentiment_ranking_microblogs
390,Long tech calls,0.384,sentiment_ranking_microblogs
391,the most trending,0.216,sentiment_ranking_microblogs
392,the most trending,0.216,sentiment_ranking_microblogs
393,$fb small flong 109.25 via calls,0.352,sentiment_ranking_microblogs
394,shorts are getting nervous,0.366,sentiment_ranking_microblogs
395,i want to cry,-0.595,sentiment_ranking_microblogs
396,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating,0.214,sentiment_ranking_microblogs
397,is in the process of streamlining its structure especially through divestment of non-core businesses,0.229,sentiment_ranking_microblogs
398,$YHOO have lost 50% since Nov 14,-0.422,sentiment_ranking_microblogs
399,At least you didn't stop out,-0.222,sentiment_ranking_microblogs
400,bot $CHRW,0.437,sentiment_ranking_microblogs
401,"With Oil Prices Down further, Oil Stocks Looking Less Cheap",-0.42,sentiment_ranking_microblogs
402,Multi Top on $MCD  chart finally leads to a fall in price Stability is questioned in the stock but coming weeks will tell,-0.474,sentiment_ranking_microblogs
403,People still coming in his EOD could be explosive shorts get caught,0.257,sentiment_ranking_microblogs
404,shorts are trapped,0.226,sentiment_ranking_microblogs
405,debt crisis entered a dangerous new phase,-0.331,sentiment_ranking_microblogs
406,orgetting the potential relative value of its users,0.316,sentiment_ranking_microblogs
407,Airplane And Hospitality Industries Set Their Sights On #Cuba,0.405,sentiment_ranking_microblogs
